Buffer Size (KB/port/Gbps),Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Total Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
3.44,ABM,3.524,2.0428,524000,28.883,20240,DCTCP
5.12,ABM,3.616,2.0293,295436,26.015,13624,DCTCP
7.0,ABM,3.5969,2.0376,200892,22.828,10480,DCTCP
9.6,ABM,3.5276,2.031,132356,19.736,7336,DCTCP
3.44,ABM,3.612,2.0773,532024,31.196,20960,TCPCubic
5.12,ABM,3.7244,2.2869,315736,32.986,14672,TCPCubic
7.0,ABM,3.7769,2.4507,213820,31.663,11528,TCPCubic
9.6,ABM,3.785,2.6239,155772,30.918,8384,TCPCubic
3.44,DT,3.6161,2.0581,161956,47.941,8860,DCTCP
5.12,DT,3.5376,1.9811,27596,48.224,0,DCTCP
7.0,DT,3.6193,1.9894,13116,45.785,0,DCTCP
9.6,DT,3.7341,1.989,4360,43.331,0,DCTCP
3.44,DT,3.7248,2.4912,200988,49.623,11528,TCPCubic
5.12,DT,3.7934,2.6246,47324,56.495,3204,TCPCubic
7.0,DT,3.934,2.7447,21204,56.278,0,TCPCubic
9.6,DT,4.0623,3.0485,8312,53.703,0,TCPCubic
3.44,Reverie,3.4263,2.0922,53164,50.323,2216,DCTCP
5.12,Reverie,3.6047,2.0135,17480,53.138,0,DCTCP
7.0,Reverie,3.6555,1.9968,6876,49.586,0,DCTCP
9.6,Reverie,3.7373,2.0081,1416,41.754,0,DCTCP
3.44,Reverie,3.5087,2.2988,60392,50.932,3144,TCPCubic
5.12,Reverie,3.713,2.3831,19632,56.025,0,TCPCubic
7.0,Reverie,3.9313,2.5517,8464,55.767,0,TCPCubic
9.6,Reverie,4.0549,2.8303,2500,52.063,0,TCPCubic
