RDMA Burst Size,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
500000,ABM,5.7575,7636,5.2408,0.0,19.155,0,DCTCP
1000000,ABM,8.5735,21328,5.3216,0.16844,19.265,0,DCTCP
1500000,ABM,9.1436,37260,5.4005,5.6541,19.321,0,DCTCP
2500000,ABM,9.5409,70228,5.4865,11.954,19.488,2096,DCTCP
500000,ABM,5.7691,7876,8.1456,0.0,27.15,0,TCPCubic
1000000,ABM,8.5838,21752,7.9947,0.24047,27.066,0,TCPCubic
1500000,ABM,9.0974,37952,8.1689,5.4903,27.15,0,TCPCubic
2500000,ABM,9.4685,69912,8.1268,11.544,27.15,2096,TCPCubic
500000,DT,5.7749,40,5.3035,0.0,19.155,0,DCTCP
1000000,DT,11.286,9244,5.446,0.086563,19.321,0,DCTCP
1500000,DT,14.946,13080,5.5002,3.93,19.388,0,DCTCP
2500000,DT,13.917,22972,5.7537,22.679,19.571,0,DCTCP
500000,DT,5.7654,344,58.222,0.0,37.017,0,TCPCubic
1000000,DT,11.399,14576,54.181,0.12234,36.977,0,TCPCubic
1500000,DT,13.791,21568,55.568,3.8519,37.06,0,TCPCubic
2500000,DT,13.37,36136,60.496,20.602,36.977,0,TCPCubic
500000,Reverie,5.7686,28,5.2983,0.0,19.238,0,DCTCP
1000000,Reverie,8.9509,4676,5.4239,0.16844,19.155,0,DCTCP
1500000,Reverie,15.383,10720,5.4663,4.1803,19.321,0,DCTCP
2500000,Reverie,14.273,12624,5.6922,22.843,19.405,0,DCTCP
500000,Reverie,5.757,28,10.41,0.0,38.809,0,TCPCubic
1000000,Reverie,10.361,7708,10.767,0.15188,39.059,0,TCPCubic
1500000,Reverie,14.77,12700,10.535,4.0938,38.892,0,TCPCubic
2500000,Reverie,14.218,15916,10.68,23.135,38.809,0,TCPCubic
