TCP Burst Size,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
12500,ABM,0.74811,286112,14.726,13.83,0.0,1090.0,DCTCP
500000,ABM,4.9075,291496,15.43,13.839,0.0,1178.0,DCTCP
1000000,ABM,30.966,294520,16.186,13.839,0.0,1178.0,DCTCP
2000000,ABM,38.98,311908,16.312,13.879,0.083281,1266.0,DCTCP
12500,ABM,0.7485,297776,15.548,13.92,0.0,1178.0,TCPCubic
500000,ABM,4.8921,284980,15.353,13.844,0.0,1178.0,TCPCubic
1000000,ABM,25.137,301444,16.075,13.866,0.0,1178.4,TCPCubic
2000000,ABM,18.24,313496,16.364,13.892,4.747,1354.0,TCPCubic
12500,DT,0.74504,0,13.558,14.106,0.0,0.0,DCTCP
500000,DT,8.4242,0,13.976,14.18,0.0,0.0,DCTCP
1000000,DT,29.261,0,14.368,14.264,0.0,0.0,DCTCP
2000000,DT,26.935,76,15.129,14.428,9.4108,0.0,DCTCP
12500,DT,0.74883,0,13.58,14.053,0.0,0.0,TCPCubic
500000,DT,8.1042,0,13.977,14.156,0.0,0.0,TCPCubic
1000000,DT,14.472,0,14.275,14.253,0.0,0.0,TCPCubic
2000000,DT,7.5495,64,14.94,14.167,3.8309,0.0,TCPCubic
12500,Reverie,0.74897,0,13.291,14.091,0.0,0.0,DCTCP
500000,Reverie,4.8992,0,14.227,14.223,0.0,0.0,DCTCP
1000000,Reverie,20.928,76,13.746,14.248,0.0,0.0,DCTCP
2000000,Reverie,28.927,128,15.094,14.222,6.3294,0.0,DCTCP
12500,Reverie,0.74856,0,13.998,14.104,0.0,0.0,TCPCubic
500000,Reverie,4.892,0,14.099,14.252,0.0,0.0,TCPCubic
1000000,Reverie,18.285,60,14.009,14.193,0.0,0.0,TCPCubic
2000000,Reverie,12.908,152,14.61,14.209,6.1628,0.0,TCPCubic
