RDMA Load,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,1.5854,50512,6.2462,15.84,0,0.0,BaselineSmallTop
0.4,ABM,2.352,233596,8.6852,19.404,0,7336.0,BaselineSmallTop
0.6,ABM,3.5947,861268,12.636,21.779,0,14672.0,BaselineSmallTop
0.8,ABM,9.531,3141236,46.564,28.225,0,44496.0,BaselineSmallTop
0.2,ABM,1.6675,52069,6.7496,14.246,0,1048.0,OverSubSmallTop
0.4,ABM,2.4866,177173,10.103,17.049,0,7336.0,OverSubSmallTop
0.6,ABM,4.0556,544945,15.755,21.451,0,14732.0,OverSubSmallTop
0.8,ABM,7.0099,1362757,26.312,23.287,0,22428.0,OverSubSmallTop
0.2,DT,1.6615,9316,7.356,23.493,0,0.0,BaselineSmallTop
0.4,DT,2.5485,14936,10.297,36.53,0,0.0,BaselineSmallTop
0.6,DT,4.5779,39188,23.914,53.299,0,0.0,BaselineSmallTop
0.8,DT,12.626,319908,84.966,61.599,0,12318.0,BaselineSmallTop
0.2,DT,1.794,4761,8.1883,20.551,0,0.0,OverSubSmallTop
0.4,DT,2.8772,9517,13.834,34.873,0,0.0,OverSubSmallTop
0.6,DT,5.6905,45421,29.946,55.806,0,0.0,OverSubSmallTop
0.8,DT,12.873,134573,87.745,62.07,0,10720.0,OverSubSmallTop
0.2,Reverie,1.6523,8008,7.0492,23.341,0,0.0,BaselineSmallTop
0.4,Reverie,2.5731,11132,10.424,37.208,0,0.0,BaselineSmallTop
0.6,Reverie,4.5353,24224,23.503,52.384,0,0.0,BaselineSmallTop
0.8,Reverie,14.7,358738,91.287,59.878,0,9627.8,BaselineSmallTop
0.2,Reverie,1.8159,3097,8.4024,20.551,0,0.0,OverSubSmallTop
0.4,Reverie,2.8393,5609,13.157,35.452,0,0.0,OverSubSmallTop
0.6,Reverie,5.5898,22573,30.294,60.346,0,0.0,OverSubSmallTop
0.8,Reverie,16.624,55661,118.86,67.953,0,7396.0,OverSubSmallTop
