TCP Load,Algorithm,TCP Background FCT Slowdown Avg,PFC Pauses,TCP Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,1.9457,84312,9.3257,13.097,21.237,3144,BaselineFullTopology
0.4,ABM,2.6077,140752,10.201,13.052,23.111,6288,BaselineFullTopology
0.6,ABM,3.3643,133538,14.005,12.364,23.735,6288,BaselineFullTopology
0.8,ABM,5.1881,81498,32.211,11.954,24.568,5240,BaselineFullTopology
0.2,ABM,1.9257,57785,10.101,8.9244,22.777,0,OversubFullTopology
0.4,ABM,2.6935,65145,11.407,9.4156,25.068,0,OversubFullTopology
0.6,ABM,3.7601,99441,14.853,10.521,26.275,0,OversubFullTopology
0.8,ABM,7.7292,110151,57.198,12.036,27.899,0,OversubFullTopology
0.2,DT,2.1582,16508,12.24,32.013,30.189,0,BaselineFullTopology
0.4,DT,3.2388,50000,15.174,29.843,37.685,0,BaselineFullTopology
0.6,DT,4.495,70464,19.854,28.042,41.069,0,BaselineFullTopology
0.8,DT,6.7309,57248,44.216,26.077,42.848,0,BaselineFullTopology
0.2,DT,2.1626,31225,12.784,26.896,27.483,0,OversubFullTopology
0.4,DT,3.2609,38589,15.675,26.2,31.938,0,OversubFullTopology
0.6,DT,4.8052,68353,21.957,28.697,35.461,0,OversubFullTopology
0.8,DT,8.9234,87990,67.42,27.996,37.804,0,OversubFullTopology
0.2,Reverie,2.0266,8220,10.551,32.422,28.441,0,BaselineFullTopology
0.4,Reverie,2.8695,21332,12.1,31.276,32.105,0,BaselineFullTopology
0.6,Reverie,3.8136,29860,14.946,30.867,33.771,0,BaselineFullTopology
0.8,Reverie,5.7543,25076,32.336,30.949,35.936,0,BaselineFullTopology
0.2,Reverie,2.003,6449,11.664,27.142,28.482,0,OversubFullTopology
0.4,Reverie,2.9113,15989,13.481,27.183,31.98,0,OversubFullTopology
0.6,Reverie,4.1793,40545,16.6,31.522,34.812,0,OversubFullTopology
0.8,Reverie,8.3207,63423,56.492,31.031,37.518,0,OversubFullTopology
