Buffer Size (KB/port/Gbps),Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Total Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
3.44,ABM,3.6151,2.2829,0,39.083,19164,BaselineFullTopology
5.12,ABM,3.6151,2.2829,0,26.259,19164,BaselineFullTopology
7.0,ABM,3.6151,2.2829,0,19.206,19164,BaselineFullTopology
9.6,ABM,3.6151,2.2829,0,14.005,19164,BaselineFullTopology
3.44,ABM,3.4981,2.1381,867049,28.111,19163,OversubFullTopology
5.12,ABM,3.7409,2.3478,526637,27.428,13624,OversubFullTopology
7.0,ABM,3.8508,2.5378,359273,25.99,10480,OversubFullTopology
9.6,ABM,3.9578,2.7017,273801,23.75,7396,OversubFullTopology
3.44,DT,3.6756,2.7521,0,83.091,1048,BaselineFullTopology
5.12,DT,3.6756,2.7521,0,55.827,1048,BaselineFullTopology
7.0,DT,3.6756,2.7521,0,40.833,1048,BaselineFullTopology
9.6,DT,3.6756,2.7521,0,29.774,1048,BaselineFullTopology
3.44,DT,3.8907,2.4849,147825,50.093,6288,OversubFullTopology
5.12,DT,4.2306,2.7805,67961,54.224,0,OversubFullTopology
7.0,DT,4.4137,2.8981,14621,50.33,0,OversubFullTopology
9.6,DT,4.6639,2.9836,7057,44.19,0,OversubFullTopology
3.44,Reverie,3.6914,2.4734,0,77.842,0,BaselineFullTopology
5.12,Reverie,3.6914,2.4734,0,52.3,0,BaselineFullTopology
7.0,Reverie,3.6914,2.4734,0,38.254,0,BaselineFullTopology
9.6,Reverie,3.6914,2.4734,0,27.893,0,BaselineFullTopology
3.44,Reverie,3.7195,2.4187,83885,50.216,0,OversubFullTopology
5.12,Reverie,4.1893,2.5435,20833,54.308,0,OversubFullTopology
7.0,Reverie,4.3596,2.7617,9013,50.563,0,OversubFullTopology
9.6,Reverie,4.6465,2.8957,2545,45.155,0,OversubFullTopology
