TCP Load,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,20.509,84312,10.128,13.097,21.237,3144,BaselineFullTopology
0.4,ABM,19.047,140752,9.8352,13.052,23.111,6288,BaselineFullTopology
0.6,ABM,18.151,133538,9.6546,12.364,23.735,6288,BaselineFullTopology
0.8,ABM,17.887,81498,8.5523,11.954,24.568,5240,BaselineFullTopology
0.2,ABM,22.181,57785,11.037,8.9244,22.777,0,OversubFullTopology
0.4,ABM,22.012,65145,11.405,9.4156,25.068,0,OversubFullTopology
0.6,ABM,22.106,99441,11.853,10.521,26.275,0,OversubFullTopology
0.8,ABM,21.956,110151,11.971,12.036,27.899,0,OversubFullTopology
0.2,DT,10.752,16508,14.155,32.013,30.189,0,BaselineFullTopology
0.4,DT,12.718,50000,17.132,29.843,37.685,0,BaselineFullTopology
0.6,DT,15.504,70464,22.319,28.042,41.069,0,BaselineFullTopology
0.8,DT,18.972,57248,48.988,26.077,42.848,0,BaselineFullTopology
0.2,DT,12.653,31225,14.912,26.896,27.483,0,OversubFullTopology
0.4,DT,15.707,38589,18.232,26.2,31.938,0,OversubFullTopology
0.6,DT,18.565,68353,25.899,28.697,35.461,0,OversubFullTopology
0.8,DT,21.784,87990,58.858,27.996,37.804,0,OversubFullTopology
0.2,Reverie,10.39,8220,11.779,32.422,28.441,0,BaselineFullTopology
0.4,Reverie,11.251,21332,12.528,31.276,32.105,0,BaselineFullTopology
0.6,Reverie,12.126,29860,12.369,30.867,33.771,0,BaselineFullTopology
0.8,Reverie,13.214,25076,11.436,30.949,35.936,0,BaselineFullTopology
0.2,Reverie,12.133,6449,13.462,27.142,28.482,0,OversubFullTopology
0.4,Reverie,14.515,15989,14.047,27.183,31.98,0,OversubFullTopology
0.6,Reverie,16.673,40545,14.986,31.522,34.812,0,OversubFullTopology
0.8,Reverie,20.515,63423,15.787,31.031,37.518,0,OversubFullTopology
