RDMA Burst Size,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
500000,ABM,6.9036,96,8.5208,0.40937,24.61,0.0,BaselineFullTopology
1000000,ABM,10.12,46400,8.5435,8.6258,24.61,0.0,BaselineFullTopology
1500000,ABM,16.178,80985,8.6013,11.176,24.651,2096.0,BaselineFullTopology
2500000,ABM,17.809,133924,8.4544,12.652,24.651,7336.0,BaselineFullTopology
500000,ABM,7.312,29,11.509,0.043281,27.649,0.0,OversubFullTopology
1000000,ABM,10.222,66245,11.784,6.9727,27.816,0.0,OversubFullTopology
1500000,ABM,24.148,86345,11.766,10.562,27.858,0.0,OversubFullTopology
2500000,ABM,21.254,162033,12.242,17.726,27.983,4614.9,OversubFullTopology
500000,DT,6.8093,0,47.452,0.48818,42.915,0.0,BaselineFullTopology
1000000,DT,9.4926,6436,47.872,10.492,42.964,0.0,BaselineFullTopology
1500000,DT,12.26,43160,47.666,20.386,42.848,0.0,BaselineFullTopology
2500000,DT,22.448,87632,45.713,27.704,42.848,0.0,BaselineFullTopology
500000,DT,7.3089,1,51.032,0.043281,37.789,0.0,OversubFullTopology
1000000,DT,10.266,2937,58.28,7.2358,37.81,0.0,OversubFullTopology
1500000,DT,15.277,49693,60.763,20.586,37.768,0.0,OversubFullTopology
2500000,DT,23.169,97057,61.679,28.534,37.892,0.0,OversubFullTopology
500000,Reverie,6.8027,0,11.273,0.34974,36.061,0.0,BaselineFullTopology
1000000,Reverie,9.5053,60,11.392,10.516,35.894,0.0,BaselineFullTopology
1500000,Reverie,11.091,7756,11.268,20.833,35.936,0.0,BaselineFullTopology
2500000,Reverie,17.588,60648,11.408,39.668,36.202,0.0,BaselineFullTopology
500000,Reverie,7.326,1,15.324,0.043281,37.117,0.0,OversubFullTopology
1000000,Reverie,10.225,369,15.368,7.1473,37.227,0.0,OversubFullTopology
1500000,Reverie,13.449,30421,15.588,21.917,37.268,0.0,OversubFullTopology
2500000,Reverie,22.946,73601,15.721,32.968,37.435,0.0,OversubFullTopology
