RDMA Load,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,9.9338,60,1.7852,0.55352,23.724,0,BaselineFullTopology
0.4,ABM,10.031,328,2.1171,1.5328,22.913,0,BaselineFullTopology
0.6,ABM,10.03,3464,2.4661,2.1138,22.28,0,BaselineFullTopology
0.8,ABM,10.626,642032,4.403,12.788,23.006,2180,BaselineFullTopology
0.2,ABM,10.518,5,3.5865,0.17719,19.696,0,OversubFullTopology
0.4,ABM,10.471,85,3.8988,1.0282,18.499,0,OversubFullTopology
0.6,ABM,10.543,577,4.3879,1.6949,16.958,0,OversubFullTopology
0.8,ABM,10.939,122705,16.214,8.0229,15.422,0,OversubFullTopology
0.2,DT,16.482,0,1.788,0.59609,17.056,0,BaselineFullTopology
0.4,DT,14.31,0,2.1316,1.5362,16.919,0,BaselineFullTopology
0.6,DT,14.874,0,2.4747,2.1249,16.617,0,BaselineFullTopology
0.8,DT,17.252,856,4.3233,12.949,18.574,0,BaselineFullTopology
0.2,DT,29.772,1,3.5609,0.19437,12.348,0,OversubFullTopology
0.4,DT,29.173,1,3.8417,1.0403,11.035,0,OversubFullTopology
0.6,DT,28.419,1,4.3546,1.7031,9.8272,0,OversubFullTopology
0.8,DT,29.143,1,14.985,7.9597,8.1616,0,OversubFullTopology
0.2,Reverie,9.7311,0,1.7819,0.55352,23.809,0,BaselineFullTopology
0.4,Reverie,9.7875,88,2.1334,1.5328,22.964,0,BaselineFullTopology
0.6,Reverie,9.8646,140,2.4667,2.1159,22.349,0,BaselineFullTopology
0.8,Reverie,10.489,3624,4.3707,13.073,23.043,0,BaselineFullTopology
0.2,Reverie,10.351,9,3.5779,0.17719,19.764,0,OversubFullTopology
0.4,Reverie,10.267,25,3.8986,1.0282,18.541,0,OversubFullTopology
0.6,Reverie,10.293,21,4.3807,1.6984,17.041,0,OversubFullTopology
0.8,Reverie,10.657,273,15.592,8.0255,15.515,0,OversubFullTopology
