Gamma Value,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.4,Reverie,17.833,9057236,19.273,35.502,0,26200,BaselineFullTopology
0.8,Reverie,17.608,7776040,19.502,36.037,0,23444,BaselineFullTopology
0.9,Reverie,17.617,6722824,19.324,36.678,0,21140,BaselineFullTopology
0.99,Reverie,16.944,3128712,21.107,41.779,0,14072,BaselineFullTopology
0.999,Reverie,15.014,1184624,25.365,56.32,0,10540,BaselineFullTopology
0.999999,Reverie,12.563,263944,25.086,100.0,0,0,BaselineFullTopology
0.4,Reverie,24.38,2085,13.011,29.827,0,2096,OversubFullTopology
0.8,Reverie,25.402,1885,15.575,30.361,0,1048,OversubFullTopology
0.9,Reverie,24.098,2414,13.391,32.776,0,2096,OversubFullTopology
0.99,Reverie,15.538,825,16.146,41.863,0,0,OversubFullTopology
0.999,Reverie,18.733,143945,32.95,65.602,0,10388,OversubFullTopology
0.999999,Reverie,16.404,1120357,49.443,100.0,0,13858,OversubFullTopology
