Egress Lossy Fraction,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,18.522,83280,9.8482,12.161,6.7874,4192,BaselineFullTopology
0.4,ABM,17.983,90770,7.2949,12.036,12.95,4192,BaselineFullTopology
0.6,ABM,17.976,92864,7.6417,12.036,18.857,5240,BaselineFullTopology
0.8,ABM,17.887,81498,8.5523,11.954,24.568,5240,BaselineFullTopology
0.2,ABM,21.978,110005,5.5157,12.281,7.3288,0,OversubFullTopology
0.4,ABM,21.925,110657,7.6797,12.077,14.408,0,OversubFullTopology
0.6,ABM,21.908,110085,9.9463,11.995,21.278,0,OversubFullTopology
0.8,ABM,21.956,110151,11.971,12.036,27.899,0,OversubFullTopology
0.2,DT,12.876,31604,63.26,31.481,10.91,0,BaselineFullTopology
0.4,DT,14.876,42496,57.819,30.417,21.618,0,BaselineFullTopology
0.6,DT,17.124,54736,48.855,28.779,32.271,0,BaselineFullTopology
0.8,DT,18.972,57248,48.988,26.077,42.848,0,BaselineFullTopology
0.2,DT,17.261,69493,81.977,37.417,9.7855,0,OversubFullTopology
0.4,DT,20.043,74137,65.259,33.773,19.321,0,OversubFullTopology
0.6,DT,21.469,80861,60.631,30.13,28.649,0,OversubFullTopology
0.8,DT,21.784,87990,58.858,27.996,37.804,0,OversubFullTopology
0.2,Reverie,13.248,30536,11.391,31.276,36.019,0,BaselineFullTopology
0.4,Reverie,13.248,30536,11.391,31.276,36.019,0,BaselineFullTopology
0.6,Reverie,13.22,28940,11.401,31.031,36.019,0,BaselineFullTopology
0.8,Reverie,13.214,25076,11.436,30.949,35.936,0,BaselineFullTopology
0.2,Reverie,20.42,63425,15.81,30.826,37.435,0,OversubFullTopology
0.4,Reverie,20.42,63425,15.81,30.826,37.435,0,OversubFullTopology
0.6,Reverie,20.42,63425,15.81,30.826,37.435,0,OversubFullTopology
0.8,Reverie,20.515,63423,15.787,31.031,37.518,0,OversubFullTopology
