RDMA Load,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,1.7202,170784,7.3803,15.638,0,6288,BaselineFullTopology
0.4,ABM,2.5843,740300,10.242,17.925,0,12576,BaselineFullTopology
0.6,ABM,4.1376,3125184,15.796,21.055,0,25932,BaselineFullTopology
0.8,ABM,8.4597,11617552,35.818,25.156,0,58148,BaselineFullTopology
0.2,ABM,1.6584,103809,6.9825,11.997,0,0,OversubFullTopology
0.4,ABM,2.4846,370241,9.2907,13.714,0,5240,OversubFullTopology
0.6,ABM,3.7708,1248561,13.021,16.101,0,12576,OversubFullTopology
0.8,ABM,7.8046,5161509,31.989,22.026,0,32220,OversubFullTopology
0.2,DT,1.6979,7668,7.253,37.458,0,0,BaselineFullTopology
0.4,DT,2.6835,18496,11.157,39.861,0,0,BaselineFullTopology
0.6,DT,5.0735,78408,27.142,55.397,0,0,BaselineFullTopology
0.8,DT,12.102,596188,79.158,64.989,0,12756,BaselineFullTopology
0.2,DT,1.7514,32197,8.6608,30.551,0,0,OversubFullTopology
0.4,DT,2.7863,37889,12.858,36.819,0,0,OversubFullTopology
0.6,DT,5.1505,59293,27.745,52.986,0,0,OversubFullTopology
0.8,DT,13.743,305241,92.04,66.058,0,13564,OversubFullTopology
0.2,Reverie,1.7013,7096,7.1776,37.376,0,0,BaselineFullTopology
0.4,Reverie,2.7214,17164,11.463,40.041,0,0,BaselineFullTopology
0.6,Reverie,5.2316,69312,28.462,51.246,0,0,BaselineFullTopology
0.8,Reverie,14.534,1184624,97.475,56.32,0,10540,BaselineFullTopology
0.2,Reverie,1.7596,3173,8.5773,30.705,0,0,OversubFullTopology
0.4,Reverie,2.811,10589,13.42,38.535,0,0,OversubFullTopology
0.6,Reverie,5.164,34201,27.416,52.826,0,0,OversubFullTopology
0.8,Reverie,13.589,143945,89.375,65.602,0,10388,OversubFullTopology
