RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
500000,ABM,2.384,589992,8.2559,14.495,0,6288,BaselineFullTopology
1000000,ABM,2.433,629524,8.5308,15.383,0,7336,BaselineFullTopology
1500000,ABM,2.5127,694172,9.2884,16.665,0,10480,BaselineFullTopology
2500000,ABM,2.6305,774252,10.773,18.665,0,13922,BaselineFullTopology
500000,ABM,2.3041,315173,8.1173,11.266,0,4192,OversubFullTopology
1000000,ABM,2.3818,345865,8.6477,12.428,0,4492,OversubFullTopology
1500000,ABM,2.442,316257,9.0434,13.61,0,4192,OversubFullTopology
2500000,ABM,2.55,414813,9.8316,14.712,0,6288,OversubFullTopology
500000,DT,2.549,160,9.9625,22.178,0,0,BaselineFullTopology
1000000,DT,2.5775,244,10.189,24.16,0,0,BaselineFullTopology
1500000,DT,2.6253,2516,10.52,29.982,0,0,BaselineFullTopology
2500000,DT,2.7452,82888,11.629,49.533,0,0,BaselineFullTopology
500000,DT,2.4964,9,9.8359,16.504,0,0,OversubFullTopology
1000000,DT,2.5854,277,10.461,19.843,0,0,OversubFullTopology
1500000,DT,2.6884,2321,11.604,26.373,0,0,OversubFullTopology
2500000,DT,2.8617,54525,13.807,43.726,0,0,OversubFullTopology
500000,Reverie,2.5431,260,10.022,22.224,0,0,BaselineFullTopology
1000000,Reverie,2.5784,480,10.15,24.048,0,0,BaselineFullTopology
1500000,Reverie,2.6352,3580,10.66,30.584,0,0,BaselineFullTopology
2500000,Reverie,2.8413,65128,12.796,47.025,0,0,BaselineFullTopology
500000,Reverie,2.4897,53,9.7637,16.58,0,0,OversubFullTopology
1000000,Reverie,2.5874,97,10.565,19.693,0,0,OversubFullTopology
1500000,Reverie,2.6859,1693,11.623,26.493,0,0,OversubFullTopology
2500000,Reverie,2.9146,53161,14.634,45.29,0,0,OversubFullTopology
