RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
500000,ABM,1.7264,12984,5.9646,1.9491,0,0,BaselineFullTopology
1000000,ABM,1.754,27552,6.1552,6.7733,0,0,BaselineFullTopology
1500000,ABM,1.7677,30420,6.2718,8.2355,0,0,BaselineFullTopology
2500000,ABM,1.7845,30668,6.369,8.3029,0,0,BaselineFullTopology
500000,ABM,2.0012,7561,6.326,1.7416,0,0,OversubFullTopology
1000000,ABM,2.0431,8677,6.77,5.5777,0,0,OversubFullTopology
1500000,ABM,2.0635,8801,6.8818,5.6203,0,0,OversubFullTopology
2500000,ABM,2.0951,9253,7.1318,5.5777,0,0,OversubFullTopology
500000,DT,1.7253,0,5.964,1.9415,0,0,BaselineFullTopology
1000000,DT,1.7416,0,6.0922,7.7547,0,0,BaselineFullTopology
1500000,DT,1.7542,0,6.1559,9.2395,0,0,BaselineFullTopology
2500000,DT,1.7704,0,6.2414,9.2819,0,0,BaselineFullTopology
500000,DT,1.9999,1,6.3509,1.7457,0,0,OversubFullTopology
1000000,DT,2.0416,1,6.7155,5.9609,0,0,OversubFullTopology
1500000,DT,2.0599,1,6.7869,5.9958,0,0,OversubFullTopology
2500000,DT,2.0962,1,7.0681,5.9705,0,0,OversubFullTopology
500000,Reverie,1.7253,0,5.964,1.9415,0,0,BaselineFullTopology
1000000,Reverie,1.7416,0,6.0922,7.7547,0,0,BaselineFullTopology
1500000,Reverie,1.7542,0,6.1559,9.2395,0,0,BaselineFullTopology
2500000,Reverie,1.7704,0,6.2414,9.2819,0,0,BaselineFullTopology
500000,Reverie,1.9989,1,6.4219,1.7457,0,0,OversubFullTopology
1000000,Reverie,2.0417,1,6.7397,5.9709,0,0,OversubFullTopology
1500000,Reverie,2.06,1,6.8749,5.9609,0,0,OversubFullTopology
2500000,Reverie,2.0943,1,7.0801,5.9644,0,0,OversubFullTopology
