TCP Load,Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,3.616,2.0293,295436,21.206,11.41,13624.0,DCTCP
0.4,ABM,5.6238,2.7526,628252,23.265,14.824,20960.0,DCTCP
0.6,ABM,9.7162,4.9376,1135360,25.875,17.989,29400.0,DCTCP
0.2,ABM,3.7244,2.2869,531968,21.476,23.235,14672.0,TCPCubic
0.4,ABM,5.7424,3.1508,655373,22.352,24.273,22008.0,TCPCubic
0.6,ABM,9.9762,5.5602,1161557,25.004,25.484,30227.0,TCPCubic
0.2,DT,3.5376,1.9811,27596,42.783,11.743,0.0,DCTCP
0.4,DT,5.424,2.7156,63140,48.276,15.574,6228.0,DCTCP
0.6,DT,8.6033,4.616,134256,50.577,19.071,10611.0,DCTCP
0.2,DT,3.7934,2.6246,200922,41.401,29.898,3204.0,TCPCubic
0.4,DT,5.8144,3.8975,117621,46.597,34.562,8904.6,TCPCubic
0.6,DT,9.2512,6.8268,291409,47.945,36.727,13624.0,TCPCubic
0.2,Reverie,3.6047,2.0135,17480,48.544,11.659,0.0,DCTCP
0.4,Reverie,5.3284,2.7637,28144,55.001,15.407,0.0,DCTCP
0.6,Reverie,8.7075,4.8058,52368,59.47,18.988,5300.0,DCTCP
0.2,Reverie,3.713,2.3831,60376,48.58,30.814,0.0,TCPCubic
0.4,Reverie,5.6405,3.4623,34157,54.923,34.062,1048.0,TCPCubic
0.6,Reverie,9.0014,6.0162,63573,58.855,36.894,6468.0,TCPCubic
