TCP Load,Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,3.7244,2.2869,531968,21.476,23.235,14672.0,DCTCP
0.4,ABM,5.7424,3.1508,655373,22.352,24.273,22008.0,DCTCP
0.6,ABM,9.9762,5.5602,1161557,25.004,25.484,30227.0,DCTCP
0.2,ABM,3.6151,2.2829,982840,17.977,17.073,19164.0,TCPCubic
0.4,ABM,6.51,3.2961,2507780,21.823,19.904,34584.0,TCPCubic
0.6,ABM,10.731,6.1814,4561836,24.285,21.945,46288.0,TCPCubic
0.2,DT,3.7934,2.6246,200922,41.401,29.898,3204.0,DCTCP
0.4,DT,5.8144,3.8975,117621,46.597,34.562,8904.6,DCTCP
0.6,DT,9.2512,6.8268,291409,47.945,36.727,13624.0,DCTCP
0.2,DT,3.6756,2.7521,67228,40.24,33.562,1048.0,TCPCubic
0.4,DT,6.7202,4.6457,262228,44.793,39.933,13684.0,TCPCubic
0.6,DT,10.225,7.9644,842780,45.563,42.648,27516.0,TCPCubic
0.2,Reverie,3.713,2.3831,60376,48.58,30.814,0.0,DCTCP
0.4,Reverie,5.6405,3.4623,34157,54.923,34.062,1048.0,DCTCP
0.6,Reverie,9.0014,6.0162,63573,58.855,36.894,6468.0,DCTCP
0.2,Reverie,3.6914,2.4734,33004,45.288,26.006,0.0,TCPCubic
0.4,Reverie,6.6142,3.8118,89152,56.117,29.69,5240.0,TCPCubic
0.6,Reverie,10.101,6.8166,171080,58.638,32.896,12276.0,TCPCubic
