Buffer Size (KB/port/Gbps),Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Total Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
3.44,ABM,3.6151,2.2829,0,39.083,19164,FullTopology
5.12,ABM,3.6151,2.2829,0,26.259,19164,FullTopology
7.0,ABM,3.6151,2.2829,0,19.206,19164,FullTopology
9.6,ABM,3.6151,2.2829,0,14.005,19164,FullTopology
3.44,ABM,3.612,2.0773,532024,31.196,20960,SmallTopology
5.12,ABM,3.7244,2.2869,315736,32.986,14672,SmallTopology
7.0,ABM,3.7769,2.4507,213820,31.663,11528,SmallTopology
9.6,ABM,3.785,2.6239,155772,30.918,8384,SmallTopology
3.44,DT,3.6756,2.7521,0,83.091,1048,FullTopology
5.12,DT,3.6756,2.7521,0,55.827,1048,FullTopology
7.0,DT,3.6756,2.7521,0,40.833,1048,FullTopology
9.6,DT,3.6756,2.7521,0,29.774,1048,FullTopology
3.44,DT,3.7248,2.4912,200988,49.623,11528,SmallTopology
5.12,DT,3.7934,2.6246,47324,56.495,3204,SmallTopology
7.0,DT,3.934,2.7447,21204,56.278,0,SmallTopology
9.6,DT,4.0623,3.0485,8312,53.703,0,SmallTopology
3.44,Reverie,3.6914,2.4734,0,77.842,0,FullTopology
5.12,Reverie,3.6914,2.4734,0,52.3,0,FullTopology
7.0,Reverie,3.6914,2.4734,0,38.254,0,FullTopology
9.6,Reverie,3.6914,2.4734,0,27.893,0,FullTopology
3.44,Reverie,3.5087,2.2988,60392,50.932,3144,SmallTopology
5.12,Reverie,3.713,2.3831,19632,56.025,0,SmallTopology
7.0,Reverie,3.9313,2.5517,8464,55.767,0,SmallTopology
9.6,Reverie,4.0549,2.8303,2500,52.063,0,SmallTopology
