TCP Load,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,10.634,20448,8.2783,6.6713,25.484,0,DCTCP
0.4,ABM,9.6352,23336,8.0722,6.8822,26.4,0,DCTCP
0.6,ABM,9.377,37120,8.7689,7.9419,26.65,0,DCTCP
0.8,ABM,9.0939,53664,8.2947,9.4975,27.233,0,DCTCP
0.2,ABM,20.509,84312,10.128,13.097,21.237,3144,TCPCubic
0.4,ABM,19.047,140752,9.8352,13.052,23.111,6288,TCPCubic
0.6,ABM,18.151,133538,9.6546,12.364,23.735,6288,TCPCubic
0.8,ABM,17.887,81498,8.5523,11.954,24.568,5240,TCPCubic
0.2,DT,14.235,10352,14.834,11.217,28.399,0,DCTCP
0.4,DT,13.97,10704,21.048,8.5969,33.048,0,DCTCP
0.6,DT,13.702,16256,33.786,10.726,35.728,0,DCTCP
0.8,DT,12.931,23428,58.06,10.48,37.06,0,DCTCP
0.2,DT,10.752,16508,14.155,32.013,30.189,0,TCPCubic
0.4,DT,12.718,50000,17.132,29.843,37.685,0,TCPCubic
0.6,DT,15.504,70464,22.319,28.042,41.069,0,TCPCubic
0.8,DT,18.972,57248,48.988,26.077,42.848,0,TCPCubic
0.2,Reverie,14.234,7564,9.6002,11.544,33.396,0,DCTCP
0.4,Reverie,14.255,7752,10.441,9.3338,36.227,0,DCTCP
0.6,Reverie,14.276,10000,11.099,10.071,37.276,0,DCTCP
0.8,Reverie,14.499,11940,10.497,11.857,38.809,0,DCTCP
0.2,Reverie,10.39,8220,11.779,32.422,28.441,0,TCPCubic
0.4,Reverie,11.251,21332,12.528,31.276,32.105,0,TCPCubic
0.6,Reverie,12.126,29860,12.369,30.867,33.771,0,TCPCubic
0.8,Reverie,13.214,25076,11.436,30.949,35.936,0,TCPCubic
