RDMA Load,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,9.9338,60,1.7852,0.55352,23.724,0,FullTopology
0.4,ABM,10.031,328,2.1171,1.5328,22.913,0,FullTopology
0.6,ABM,10.03,3464,2.4661,2.1138,22.28,0,FullTopology
0.8,ABM,10.626,642032,4.403,12.788,23.006,2180,FullTopology
0.2,ABM,19.449,0,3.6969,0.34063,1.8322,0,SmallTopology
0.4,ABM,19.57,28,4.1331,1.8914,0.74953,0,SmallTopology
0.6,ABM,19.774,380,4.7421,3.1291,1.9988,0,SmallTopology
0.8,ABM,20.719,326140,16.547,13.986,1.9714,1599,SmallTopology
0.2,DT,16.482,0,1.788,0.59609,17.056,0,FullTopology
0.4,DT,14.31,0,2.1316,1.5362,16.919,0,FullTopology
0.6,DT,14.874,0,2.4747,2.1249,16.617,0,FullTopology
0.8,DT,17.252,856,4.3233,12.949,18.574,0,FullTopology
0.2,DT,14.114,0,3.6492,0.34063,0.91609,0,SmallTopology
0.4,DT,11.456,0,4.1324,1.8941,0.16656,0,SmallTopology
0.6,DT,9.0068,0,4.7233,3.1386,0.54391,0,SmallTopology
0.8,DT,9.1594,0,14.518,14.249,0.33313,0,SmallTopology
0.2,Reverie,9.7311,0,1.7819,0.55352,23.809,0,FullTopology
0.4,Reverie,9.7875,88,2.1334,1.5328,22.964,0,FullTopology
0.6,Reverie,9.8646,140,2.4667,2.1159,22.349,0,FullTopology
0.8,Reverie,10.489,3624,4.3707,13.073,23.043,0,FullTopology
0.2,Reverie,16.349,0,3.7531,0.34063,4.1641,0,SmallTopology
0.4,Reverie,15.38,0,4.2266,1.8987,1.4993,0,SmallTopology
0.6,Reverie,15.093,0,4.7695,3.1248,3.6644,0,SmallTopology
0.8,Reverie,14.666,184,14.504,14.224,2.7483,0,SmallTopology
