Gamma Value,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.4,Reverie,17.833,9057236,19.273,35.502,0,26200.0,FullTopology
0.8,Reverie,17.608,7776040,19.502,36.037,0,23444.0,FullTopology
0.9,Reverie,17.617,6722824,19.324,36.678,0,21140.0,FullTopology
0.99,Reverie,16.944,3128712,21.107,41.779,0,14072.0,FullTopology
0.999,Reverie,15.014,1184624,25.365,56.32,0,10540.0,FullTopology
0.999999,Reverie,12.563,263944,25.086,100.0,0,0.0,FullTopology
0.4,Reverie,20.413,2808660,15.047,36.469,0,17308.0,SmallTopology
0.8,Reverie,20.32,2419012,15.015,36.893,0,16020.0,SmallTopology
0.9,Reverie,20.383,2082396,15.217,37.31,0,14972.0,SmallTopology
0.99,Reverie,20.013,962336,15.846,42.352,0,12396.0,SmallTopology
0.999,Reverie,19.973,358738,19.411,59.878,0,9627.8,SmallTopology
0.999999,Reverie,20.26,1366360,40.904,99.999,0,0.0,SmallTopology
