Egress Lossy Fraction,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,9.2246,49904,11.586,8.6788,7.0789,0,DCTCP
0.4,ABM,9.2095,52500,7.0414,9.0062,13.991,0,DCTCP
0.6,ABM,9.3323,54024,7.3791,9.0881,20.654,0,DCTCP
0.8,ABM,9.0939,53664,8.2947,9.4975,27.233,0,DCTCP
0.2,ABM,18.522,83280,9.8482,12.161,6.7874,4192,TCPCubic
0.4,ABM,17.983,90770,7.2949,12.036,12.95,4192,TCPCubic
0.6,ABM,17.976,92864,7.6417,12.036,18.857,5240,TCPCubic
0.8,ABM,17.887,81498,8.5523,11.954,24.568,5240,TCPCubic
0.2,DT,14.617,12740,138.18,11.872,9.4108,0,DCTCP
0.4,DT,14.199,14772,63.55,11.381,18.655,0,DCTCP
0.6,DT,13.824,19264,61.716,11.544,27.854,0,DCTCP
0.8,DT,12.931,23428,58.06,10.48,37.06,0,DCTCP
0.2,DT,12.876,31604,63.26,31.481,10.91,0,TCPCubic
0.4,DT,14.876,42496,57.819,30.417,21.618,0,TCPCubic
0.6,DT,17.124,54736,48.855,28.779,32.271,0,TCPCubic
0.8,DT,18.972,57248,48.988,26.077,42.848,0,TCPCubic
0.2,Reverie,14.536,12912,10.603,11.795,38.976,0,DCTCP
0.4,Reverie,14.536,12912,10.603,11.795,38.976,0,DCTCP
0.6,Reverie,14.536,12912,10.603,11.795,38.976,0,DCTCP
0.8,Reverie,14.499,11940,10.497,11.857,38.809,0,DCTCP
0.2,Reverie,13.248,30536,11.391,31.276,36.019,0,TCPCubic
0.4,Reverie,13.248,30536,11.391,31.276,36.019,0,TCPCubic
0.6,Reverie,13.22,28940,11.401,31.031,36.019,0,TCPCubic
0.8,Reverie,13.214,25076,11.436,30.949,35.936,0,TCPCubic
