RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
500000,ABM,2.384,589992,8.2559,14.495,0,6288,FullTopology
1000000,ABM,2.433,629524,8.5308,15.383,0,7336,FullTopology
1500000,ABM,2.5127,694172,9.2884,16.665,0,10480,FullTopology
2500000,ABM,2.6305,774252,10.773,18.665,0,13922,FullTopology
500000,ABM,2.2697,209700,8.0681,18.504,0,6288,SmallTopology
1000000,ABM,2.2952,217172,8.0091,18.842,0,6288,SmallTopology
1500000,ABM,2.329,225328,8.2087,19.432,0,7336,SmallTopology
2500000,ABM,2.3628,247436,8.3328,19.552,0,7576,SmallTopology
500000,DT,2.549,160,9.9625,22.178,0,0,FullTopology
1000000,DT,2.5775,244,10.189,24.16,0,0,FullTopology
1500000,DT,2.6253,2516,10.52,29.982,0,0,FullTopology
2500000,DT,2.7452,82888,11.629,49.533,0,0,FullTopology
500000,DT,2.4534,1264,9.6458,31.361,0,0,SmallTopology
1000000,DT,2.4904,4068,9.7991,33.727,0,0,SmallTopology
1500000,DT,2.5308,12404,10.1,35.813,0,0,SmallTopology
2500000,DT,2.5992,16304,10.645,38.343,0,0,SmallTopology
500000,Reverie,2.5431,260,10.022,22.224,0,0,FullTopology
1000000,Reverie,2.5784,480,10.15,24.048,0,0,FullTopology
1500000,Reverie,2.6352,3580,10.66,30.584,0,0,FullTopology
2500000,Reverie,2.8413,65128,12.796,47.025,0,0,FullTopology
500000,Reverie,2.4682,1080,10.057,31.851,0,0,SmallTopology
1000000,Reverie,2.5094,2224,9.7787,34.136,0,0,SmallTopology
1500000,Reverie,2.5426,9640,10.172,36.455,0,0,SmallTopology
2500000,Reverie,2.6155,12776,10.864,39.358,0,0,SmallTopology
