TCP Load,Algorithm,TCP Background FCT Slowdown Avg,PFC Pauses,TCP Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,1.8344,20448,7.8729,6.6713,25.484,0,BaselineSmallTop
0.4,ABM,2.4545,23336,8.9782,6.8822,26.4,0,BaselineSmallTop
0.6,ABM,3.3664,37120,14.775,7.9419,26.65,0,BaselineSmallTop
0.8,ABM,6.186,53664,49.857,9.4975,27.233,0,BaselineSmallTop
0.2,ABM,1.8821,25705,8.3782,9.3338,26.067,0,OverSubSmallTop
0.4,ABM,2.5364,26077,9.2731,14.41,29.232,0,OverSubSmallTop
0.6,ABM,3.7135,26569,14.921,15.898,29.565,4192,OverSubSmallTop
0.8,ABM,6.8578,30721,40.619,17.03,29.648,7336,OverSubSmallTop
0.2,DT,2.0921,10352,12.145,11.217,28.399,0,BaselineSmallTop
0.4,DT,2.9525,10704,13.659,8.5969,33.048,0,BaselineSmallTop
0.6,DT,4.1145,16256,20.412,10.726,35.728,0,BaselineSmallTop
0.8,DT,7.0064,23428,59.15,10.48,37.06,0,BaselineSmallTop
0.2,DT,2.162,6325,10.304,7.2869,26.65,0,OverSubSmallTop
0.4,DT,3.1123,9001,15.825,20.305,29.232,0,OverSubSmallTop
0.6,DT,4.4685,10009,28.856,23.826,29.565,0,OverSubSmallTop
0.8,DT,8.0921,16381,57.546,28.355,29.648,0,OverSubSmallTop
0.2,Reverie,1.9369,7564,9.2165,11.544,33.396,0,BaselineSmallTop
0.4,Reverie,2.737,7752,11.068,9.3338,36.227,0,BaselineSmallTop
0.6,Reverie,3.7815,10000,15.813,10.071,37.276,0,BaselineSmallTop
0.8,Reverie,6.4563,11940,47.953,11.857,38.809,0,BaselineSmallTop
0.2,Reverie,1.9796,3153,9.3049,6.3044,32.646,0,OverSubSmallTop
0.4,Reverie,2.7328,4413,11.027,18.995,37.227,0,OverSubSmallTop
0.6,Reverie,4.1071,5325,16.016,23.989,38.477,0,OverSubSmallTop
0.8,Reverie,7.4356,6617,43.519,29.136,39.559,0,OverSubSmallTop
