TCP Load,Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,3.7244,2.2869,531968,21.476,23.235,14672.0,BaselineSmallTop
0.4,ABM,5.7424,3.1508,655373,22.352,24.273,22008.0,BaselineSmallTop
0.6,ABM,9.9762,5.5602,1161557,25.004,25.484,30227.0,BaselineSmallTop
0.2,ABM,3.7483,2.3669,193489,20.357,27.233,16768.0,OverSubSmallTop
0.4,ABM,6.5703,3.8362,444817,24.834,29.482,22008.0,OverSubSmallTop
0.6,ABM,10.705,8.8756,710989,25.613,29.648,30358.0,OverSubSmallTop
0.2,DT,3.7934,2.6246,200922,41.401,29.898,3204.0,BaselineSmallTop
0.4,DT,5.8144,3.8975,117621,46.597,34.562,8904.6,BaselineSmallTop
0.6,DT,9.2512,6.8268,291409,47.945,36.727,13624.0,BaselineSmallTop
0.2,DT,4.2441,2.5529,31877,42.984,27.733,1048.0,OverSubSmallTop
0.4,DT,7.5063,4.6964,73397,49.526,29.482,8384.0,OverSubSmallTop
0.6,DT,11.506,9.4476,137289,52.164,29.565,13624.0,OverSubSmallTop
0.2,Reverie,3.713,2.3831,60376,48.58,30.814,0.0,BaselineSmallTop
0.4,Reverie,5.6405,3.4623,34157,54.923,34.062,1048.0,BaselineSmallTop
0.6,Reverie,9.0014,6.0162,63573,58.855,36.894,6468.0,BaselineSmallTop
0.2,Reverie,4.1717,2.4443,12077,51.538,31.813,0.0,OverSubSmallTop
0.4,Reverie,7.5306,4.4169,23401,60.749,36.56,0.0,OverSubSmallTop
0.6,Reverie,11.108,9.005,34341,66.32,38.892,7336.0,OverSubSmallTop
