Buffer Size (KB/port/Gbps),Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Total Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
3.44,ABM,3.612,2.0773,532024,31.196,20960,BaselineSmallTop
5.12,ABM,3.7244,2.2869,315736,32.986,14672,BaselineSmallTop
7.0,ABM,3.7769,2.4507,213820,31.663,11528,BaselineSmallTop
9.6,ABM,3.785,2.6239,155772,30.918,8384,BaselineSmallTop
3.44,ABM,3.5006,2.0606,289305,33.877,21320,OverSubSmallTop
5.12,ABM,3.7483,2.3669,193489,35.592,16768,OverSubSmallTop
7.0,ABM,3.9366,2.5762,145845,35.665,12576,OverSubSmallTop
9.6,ABM,4.0223,2.7763,108009,34.039,8384,OverSubSmallTop
3.44,DT,3.7248,2.4912,200988,49.623,11528,BaselineSmallTop
5.12,DT,3.7934,2.6246,47324,56.495,3204,BaselineSmallTop
7.0,DT,3.934,2.7447,21204,56.278,0,BaselineSmallTop
9.6,DT,4.0623,3.0485,8312,53.703,0,BaselineSmallTop
3.44,DT,4.1162,2.4013,103905,52.277,9432,OverSubSmallTop
5.12,DT,4.2441,2.5529,31877,54.499,1048,OverSubSmallTop
7.0,DT,4.4353,2.6375,16937,54.031,0,OverSubSmallTop
9.6,DT,4.7514,2.8329,11229,52.849,0,OverSubSmallTop
3.44,Reverie,3.5087,2.2988,60392,50.932,3144,BaselineSmallTop
5.12,Reverie,3.713,2.3831,19632,56.025,0,BaselineSmallTop
7.0,Reverie,3.9313,2.5517,8464,55.767,0,BaselineSmallTop
9.6,Reverie,4.0549,2.8303,2500,52.063,0,BaselineSmallTop
3.44,Reverie,3.8352,2.4562,31225,54.268,0,OverSubSmallTop
5.12,Reverie,4.1717,2.4443,12077,57.708,0,OverSubSmallTop
7.0,Reverie,4.4679,2.6437,6837,57.087,0,OverSubSmallTop
9.6,Reverie,4.813,2.7938,2629,55.642,0,OverSubSmallTop
