TCP Load,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,10.634,20448,8.2783,6.6713,25.484,0,BaselineSmallTop
0.4,ABM,9.6352,23336,8.0722,6.8822,26.4,0,BaselineSmallTop
0.6,ABM,9.377,37120,8.7689,7.9419,26.65,0,BaselineSmallTop
0.8,ABM,9.0939,53664,8.2947,9.4975,27.233,0,BaselineSmallTop
0.2,ABM,16.795,25705,8.6002,9.3338,26.067,0,OverSubSmallTop
0.4,ABM,18.788,26077,8.2972,14.41,29.232,0,OverSubSmallTop
0.6,ABM,19.655,26569,8.9397,15.898,29.565,4192,OverSubSmallTop
0.8,ABM,20.03,30721,10.131,17.03,29.648,7336,OverSubSmallTop
0.2,DT,14.235,10352,14.834,11.217,28.399,0,BaselineSmallTop
0.4,DT,13.97,10704,21.048,8.5969,33.048,0,BaselineSmallTop
0.6,DT,13.702,16256,33.786,10.726,35.728,0,BaselineSmallTop
0.8,DT,12.931,23428,58.06,10.48,37.06,0,BaselineSmallTop
0.2,DT,16.647,6325,14.117,7.2869,26.65,0,OverSubSmallTop
0.4,DT,18.344,9001,23.693,20.305,29.232,0,OverSubSmallTop
0.6,DT,19.068,10009,48.276,23.826,29.565,0,OverSubSmallTop
0.8,DT,19.833,16381,66.797,28.355,29.648,0,OverSubSmallTop
0.2,Reverie,14.234,7564,9.6002,11.544,33.396,0,BaselineSmallTop
0.4,Reverie,14.255,7752,10.441,9.3338,36.227,0,BaselineSmallTop
0.6,Reverie,14.276,10000,11.099,10.071,37.276,0,BaselineSmallTop
0.8,Reverie,14.499,11940,10.497,11.857,38.809,0,BaselineSmallTop
0.2,Reverie,16.703,3153,10.069,6.3044,32.646,0,OverSubSmallTop
0.4,Reverie,18.089,4413,10.422,18.995,37.227,0,OverSubSmallTop
0.6,Reverie,19.093,5325,10.96,23.989,38.477,0,OverSubSmallTop
0.8,Reverie,19.474,6617,12.587,29.136,39.559,0,OverSubSmallTop
