RDMA Burst Size,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
500000,ABM,5.7691,7876,8.1456,0.0,27.15,0,BaselineSmallTop
1000000,ABM,8.5838,21752,7.9947,0.24047,27.066,0,BaselineSmallTop
1500000,ABM,9.0974,37952,8.1689,5.4903,27.15,0,BaselineSmallTop
2500000,ABM,9.4685,69912,8.1268,11.544,27.15,2096,BaselineSmallTop
500000,ABM,9.3013,7581,9.5712,0.0,29.648,0,OverSubSmallTop
1000000,ABM,22.698,11785,9.7946,0.081875,29.648,0,OverSubSmallTop
1500000,ABM,21.011,30349,10.007,10.691,29.648,0,OverSubSmallTop
2500000,ABM,20.128,74653,10.396,19.241,29.648,15720,OverSubSmallTop
500000,DT,5.7654,344,58.222,0.0,37.017,0,BaselineSmallTop
1000000,DT,11.399,14576,54.181,0.12234,36.977,0,BaselineSmallTop
1500000,DT,13.791,21568,55.568,3.8519,37.06,0,BaselineSmallTop
2500000,DT,13.37,36136,60.496,20.602,36.977,0,BaselineSmallTop
500000,DT,9.2963,269,71.785,0.0,29.648,0,OverSubSmallTop
1000000,DT,20.793,10169,71.447,0.097031,29.648,0,OverSubSmallTop
1500000,DT,21.066,11881,70.449,12.545,29.648,0,OverSubSmallTop
2500000,DT,22.041,46333,74.091,37.499,29.648,0,OverSubSmallTop
500000,Reverie,5.757,28,10.41,0.0,38.809,0,BaselineSmallTop
1000000,Reverie,10.361,7708,10.767,0.15188,39.059,0,BaselineSmallTop
1500000,Reverie,14.77,12700,10.535,4.0938,38.892,0,BaselineSmallTop
2500000,Reverie,14.218,15916,10.68,23.135,38.809,0,BaselineSmallTop
500000,Reverie,9.2595,17,11.956,0.0,39.559,0,OverSubSmallTop
1000000,Reverie,19.252,6705,12.025,0.092813,39.475,0,OverSubSmallTop
1500000,Reverie,21.151,9245,11.989,12.281,39.559,0,OverSubSmallTop
2500000,Reverie,20.816,19005,12.942,39.464,40.058,0,OverSubSmallTop
