Egress Lossy Fraction,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
0.2,ABM,9.2246,49904,11.586,8.6788,7.0789,0,BaselineSmallTop
0.4,ABM,9.2095,52500,7.0414,9.0062,13.991,0,BaselineSmallTop
0.6,ABM,9.3323,54024,7.3791,9.0881,20.654,0,BaselineSmallTop
0.8,ABM,9.0939,53664,8.2947,9.4975,27.233,0,BaselineSmallTop
0.2,ABM,20.3,46785,4.8861,17.603,7.412,6288,OverSubSmallTop
0.4,ABM,20.397,48813,6.4777,17.447,14.824,7336,OverSubSmallTop
0.6,ABM,20.435,50969,8.3158,17.194,22.236,7336,OverSubSmallTop
0.8,ABM,20.03,30721,10.131,17.03,29.648,7336,OverSubSmallTop
0.2,DT,14.617,12740,138.18,11.872,9.4108,0,BaselineSmallTop
0.4,DT,14.199,14772,63.55,11.381,18.655,0,BaselineSmallTop
0.6,DT,13.824,19264,61.716,11.544,27.854,0,BaselineSmallTop
0.8,DT,12.931,23428,58.06,10.48,37.06,0,BaselineSmallTop
0.2,DT,19.961,10305,168.19,30.048,7.412,0,OverSubSmallTop
0.4,DT,19.854,13985,82.749,29.148,14.824,0,OverSubSmallTop
0.6,DT,19.882,20613,73.373,28.492,22.236,0,OverSubSmallTop
0.8,DT,19.833,16381,66.797,28.355,29.648,0,OverSubSmallTop
0.2,Reverie,14.536,12912,10.603,11.795,38.976,0,BaselineSmallTop
0.4,Reverie,14.536,12912,10.603,11.795,38.976,0,BaselineSmallTop
0.6,Reverie,14.536,12912,10.603,11.795,38.976,0,BaselineSmallTop
0.8,Reverie,14.499,11940,10.497,11.857,38.809,0,BaselineSmallTop
0.2,Reverie,19.742,11861,12.31,28.656,39.642,0,OverSubSmallTop
0.4,Reverie,19.742,11861,12.31,28.656,39.642,0,OverSubSmallTop
0.6,Reverie,19.742,11861,12.31,28.656,39.642,0,OverSubSmallTop
0.8,Reverie,19.474,6617,12.587,29.136,39.559,0,OverSubSmallTop
