RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes),CC Algo
500000,ABM,2.2697,209700,8.0681,18.504,0,6288,BaselineSmallTop
1000000,ABM,2.2952,217172,8.0091,18.842,0,6288,BaselineSmallTop
1500000,ABM,2.329,225328,8.2087,19.432,0,7336,BaselineSmallTop
2500000,ABM,2.3628,247436,8.3328,19.552,0,7576,BaselineSmallTop
500000,ABM,2.3784,143361,9.4808,15.393,0,4312,OverSubSmallTop
1000000,ABM,2.3634,148797,8.8118,15.517,0,5240,OverSubSmallTop
1500000,ABM,2.4097,163393,8.9824,16.093,0,5420,OverSubSmallTop
2500000,ABM,2.5531,188189,10.689,18.298,0,8384,OverSubSmallTop
500000,DT,2.4534,1264,9.6458,31.361,0,0,BaselineSmallTop
1000000,DT,2.4904,4068,9.7991,33.727,0,0,BaselineSmallTop
1500000,DT,2.5308,12404,10.1,35.813,0,0,BaselineSmallTop
2500000,DT,2.5992,16304,10.645,38.343,0,0,BaselineSmallTop
500000,DT,2.6263,661,11.141,27.341,0,0,OverSubSmallTop
1000000,DT,2.6957,6233,12.12,30.379,0,0,OverSubSmallTop
1500000,DT,2.77,7381,12.674,31.44,0,0,OverSubSmallTop
2500000,DT,2.9699,19845,14.982,41.427,0,0,OverSubSmallTop
500000,Reverie,2.4682,1080,10.057,31.851,0,0,BaselineSmallTop
1000000,Reverie,2.5094,2224,9.7787,34.136,0,0,BaselineSmallTop
1500000,Reverie,2.5426,9640,10.172,36.455,0,0,BaselineSmallTop
2500000,Reverie,2.6155,12776,10.864,39.358,0,0,BaselineSmallTop
500000,Reverie,2.6461,305,11.114,27.751,0,0,OverSubSmallTop
1000000,Reverie,2.7043,1601,12.234,31.038,0,0,OverSubSmallTop
1500000,Reverie,2.7637,5233,12.648,32.832,0,0,OverSubSmallTop
2500000,Reverie,2.9652,9797,14.535,42.657,0,0,OverSubSmallTop
