TCP Load,Algorithm,TCP Background FCT Slowdown Avg,PFC Pauses,TCP Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,2.1582,16509,12.24,32.013,30.189,0
0.2,ABM,1.9457,84313,9.3257,13.097,21.237,3144
0.2,Reverie,2.0266,8221,10.551,32.422,28.441,0
0.4,DT,3.2439,37029,15.36,29.516,37.726,0
0.4,ABM,2.6099,99065,10.278,12.732,23.173,5240
0.4,Reverie,2.8656,15733,12.094,30.945,32.188,0
0.6,DT,4.5074,56961,19.994,27.96,41.039,0
0.6,ABM,3.3524,110349,13.801,12.307,23.735,6288
0.6,Reverie,3.8141,24205,15.004,30.46,33.812,0
0.8,DT,7.2338,81017,52.167,26.364,42.973,0
0.8,ABM,5.8714,119989,42.355,12.117,24.735,6288
0.8,Reverie,6.3696,37069,41.484,31.481,36.186,0
