Buffer Size (KB/port/Gbps),Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Total Buffer 99% (%),Headroom Buffer 99% (Bytes)
3.44,DT,3.5737,2.4889,311569,50.943,13624
3.44,ABM,3.4491,2.1036,1816557,26.877,27488
3.44,Reverie,3.5144,2.3109,162181,49.774,2096
5.12,DT,3.6756,2.7521,67229,55.827,1048
5.12,ABM,3.6151,2.2829,982841,26.259,19164
5.12,Reverie,3.6914,2.4734,33005,52.3,0
7,DT,3.7228,2.9044,14573,52.67,0
7,ABM,3.6634,2.4283,634765,25.534,14095
7,Reverie,3.7607,2.6801,7861,48.797,0
9.6,DT,3.8213,2.9992,4817,46.732,0
9.6,ABM,3.6666,2.5851,445985,23.721,11528
9.6,Reverie,3.819,2.8545,3829,41.697,0
