RDMA Burst Size,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,6.8093,0,47.452,0.48818,42.915,0
500000,ABM,6.9036,96,8.5208,0.40937,24.61,0
500000,Reverie,6.8027,0,11.273,0.34974,36.061,0
1000000,DT,9.4926,6436,47.872,10.492,42.964,0
1000000,ABM,10.12,46400,8.5435,8.6258,24.61,0
1000000,Reverie,9.5053,60,11.392,10.516,35.894,0
1500000,DT,12.26,43160,47.666,20.386,42.848,0
1500000,ABM,16.178,80985,8.6013,11.176,24.651,2096
1500000,Reverie,11.091,7756,11.268,20.833,35.936,0
2500000,DT,22.448,87632,45.713,27.704,42.848,0
2500000,ABM,17.809,133924,8.4544,12.652,24.651,7336
2500000,Reverie,17.588,60648,11.408,39.668,36.202,0
