RDMA Load,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,17.352,1,3.4627,0.58102,16.725,0
0.2,ABM,9.8524,13,3.4558,0.55352,23.79,0
0.2,Reverie,9.6867,1,3.417,0.55352,23.868,0
0.4,DT,14.75,1,4.0853,1.436,16.429,0
0.4,ABM,9.9546,97,4.138,1.4257,22.91,0
0.4,Reverie,9.6889,73,4.1024,1.4278,22.993,0
0.6,DT,14.8,1,4.677,1.9787,16.188,0
0.6,ABM,9.9668,705,4.7287,1.9684,22.224,0
0.6,Reverie,9.7849,273,4.7166,1.971,22.281,0
0.8,DT,17.336,1,12.575,12.65,18.521,0
0.8,ABM,10.594,622641,13.399,12.646,22.974,1178
0.8,Reverie,10.444,1153,12.457,12.613,23.05,0
