TCP Burst Size,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
12500,DT,0.66776,0,3.6148,10.874,0,0
12500,ABM,0.66739,280564,3.7097,11.12,0,0
12500,Reverie,0.66776,0,3.6148,10.874,0,0
500000,DT,6.1659,0,3.9208,12.136,0,0
500000,ABM,6.1656,438460,3.9529,12.084,0,0
500000,Reverie,6.1659,0,3.9208,12.136,0,0
1000000,DT,8.9034,148,4.1354,12.556,10.761,0
1000000,ABM,8.7798,543464,4.1595,12.492,10.778,1090
1000000,Reverie,8.6783,24,4.1439,12.633,10.785,0
2000000,DT,13.795,2724,4.5582,13.133,20.237,0
2000000,ABM,29.804,677156,4.4886,12.85,25.567,2268
2000000,Reverie,23.999,10912,4.5886,13.222,31.23,0
