Egress Lossy Fraction,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,12.876,31604,63.26,31.481,10.91,0
0.2,ABM,18.522,83280,9.8482,12.161,6.7874,4192
0.2,Reverie,13.248,30536,11.391,31.276,36.019,0
0.4,DT,14.876,42496,57.819,30.417,21.618,0
0.4,ABM,17.983,90770,7.2949,12.036,12.95,4192
0.4,Reverie,13.248,30536,11.391,31.276,36.019,0
0.6,DT,17.124,54736,48.855,28.779,32.271,0
0.6,ABM,17.976,92864,7.6417,12.036,18.857,5240
0.6,Reverie,13.22,28940,11.401,31.031,36.019,0
0.8,DT,18.972,57248,48.988,26.077,42.848,0
0.8,ABM,17.887,81498,8.5523,11.954,24.568,5240
0.8,Reverie,13.214,25076,11.436,30.949,35.936,0
