RDMA Load,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,1.6979,7668,7.253,37.458,0,0
0.2,ABM,1.7202,170784,7.3803,15.638,0,6288
0.2,Reverie,1.7013,7096,7.1776,37.376,0,0
0.4,DT,2.6835,18496,11.157,39.861,0,0
0.4,ABM,2.5843,740300,10.242,17.925,0,12576
0.4,Reverie,2.7214,17164,11.463,40.041,0,0
0.6,DT,5.0735,78408,27.142,55.397,0,0
0.6,ABM,4.1376,3125184,15.796,21.055,0,25932
0.6,Reverie,5.2316,69312,28.462,51.246,0,0
0.8,DT,12.102,596188,79.158,64.989,0,12756
0.8,ABM,8.4597,11617552,35.818,25.156,0,58148
0.8,Reverie,14.534,1184624,97.475,56.32,0,10540
