RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,2.549,160,9.9625,22.178,0,0
500000,ABM,2.384,589992,8.2559,14.495,0,6288
500000,Reverie,2.5431,260,10.022,22.224,0,0
1000000,DT,2.5775,244,10.189,24.16,0,0
1000000,ABM,2.433,629524,8.5308,15.383,0,7336
1000000,Reverie,2.5784,480,10.15,24.048,0,0
1500000,DT,2.6253,2516,10.52,29.982,0,0
1500000,ABM,2.5127,694172,9.2884,16.665,0,10480
1500000,Reverie,2.6352,3580,10.66,30.584,0,0
2500000,DT,2.7452,82888,11.629,49.533,0,0
2500000,ABM,2.6305,774252,10.773,18.665,0,13922
2500000,Reverie,2.8413,65128,12.796,47.025,0,0
