RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,1.7253,0,5.964,1.9415,0,0
500000,ABM,1.7264,12984,5.9646,1.9491,0,0
500000,Reverie,1.7253,0,5.964,1.9415,0,0
1000000,DT,1.7416,0,6.0922,7.7547,0,0
1000000,ABM,1.754,27552,6.1552,6.7733,0,0
1000000,Reverie,1.7416,0,6.0922,7.7547,0,0
1500000,DT,1.7542,0,6.1559,9.2395,0,0
1500000,ABM,1.7677,30420,6.2718,8.2355,0,0
1500000,Reverie,1.7542,0,6.1559,9.2395,0,0
2500000,DT,1.7704,0,6.2414,9.2819,0,0
2500000,ABM,1.7845,30668,6.369,8.3029,0,0
2500000,Reverie,1.7704,0,6.2414,9.2819,0,0
