Buffer Size (KB/port/Gbps),Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Total Buffer 99% (%),Headroom Buffer 99% (Bytes)
3.44,DT,4.1217,3.0271,0,160.19,0
3.44,ABM,3.8394,2.6302,0,91.813,7336
3.44,Reverie,4.1452,2.8632,0,155.83,0
5.12,DT,4.1217,3.0271,0,107.63,0
5.12,ABM,3.8394,2.6302,0,61.687,7336
5.12,Reverie,4.1452,2.8632,0,104.7,0
7,DT,4.1217,3.0271,0,78.722,0
7,ABM,3.8394,2.6302,0,45.119,7336
7,Reverie,4.1452,2.8632,0,76.581,0
9.6,DT,4.1217,3.0271,0,57.401,0
9.6,ABM,3.8394,2.6302,0,32.9,7336
9.6,Reverie,4.1452,2.8632,0,55.84,0
