TCP Load,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,11.631,256,16.487,18.506,62.294,0
0.2,ABM,12.615,16184,13.184,6.7956,52.884,0
0.2,Reverie,11.476,16,15.86,18.915,66.542,0
0.4,DT,12.066,384,20.926,13.509,75.453,0
0.4,ABM,11.719,17300,13.976,5.8992,58.88,0
0.4,Reverie,12.209,112,17.412,14.001,76.785,0
0.6,DT,13.436,928,28.51,10.316,84.218,0
0.6,ABM,10.056,19368,14.553,6.9594,59.546,0
0.6,Reverie,13.373,52,18.351,10.514,80.616,0
0.8,DT,14.594,1980,43.758,13.542,88.445,0
0.8,ABM,9.98,26040,13.962,10.234,61.711,0
0.8,Reverie,14.185,116,18.315,11.463,83.674,0
