RDMA Burst Size,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,5.7544,0,42.38,0.0042188,87.238,0
500000,ABM,5.7335,5496,13.852,0,61.378,0
500000,Reverie,5.752,0,18.688,0.0042188,84.197,0
1000000,DT,7.8818,92,39.424,0.24047,87.387,0
1000000,ABM,8.7862,17508,13.983,0.14344,61.375,0
1000000,Reverie,7.7902,0,18.705,0.25031,84.197,0
1500000,DT,12.793,1116,43.936,6.1453,87.945,0
1500000,ABM,9.4745,29472,14.172,4.9944,61.946,0
1500000,Reverie,12.584,72,18.803,6.5479,84.364,0
2500000,DT,14.218,3312,43.878,23.089,87.778,0
2500000,ABM,10.362,44912,14.029,12.773,61.545,0
2500000,Reverie,14.215,840,18.658,23.989,84.53,0
