RDMA Load,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,14.549,0,3.7633,0.28984,11.537,0
0.2,ABM,13.059,4,3.7074,0.34063,2.9659,0
0.2,Reverie,9.2976,0,3.7698,0.28297,16.045,0
0.4,DT,13.636,0,4.1563,1.8734,5.4966,0
0.4,ABM,11.698,12,4.1897,1.9052,0.7957,0
0.4,Reverie,9.026,0,4.2144,1.875,10.327,0
0.6,DT,12.796,0,4.8308,3.1222,9.4162,0
0.6,ABM,11.438,36,4.7363,3.1344,2.5817,0
0.6,Reverie,7.8414,0,4.7506,3.1222,15.24,0
0.8,DT,14.549,0,14.595,14.241,6.4959,0
0.8,ABM,13.836,9324,14.932,14.207,2.2928,0
0.8,Reverie,6.9215,0,14.698,14.326,11.659,0
