Egress Lossy Fraction,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,99th Percentile FCT (TCP),Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,13.741,0,55.133,14.328,22.236,0
0.2,ABM,10.443,4248,7.5892,12.281,16.49,0
0.2,Reverie,14.073,0,18.725,19.404,82.232,0
0.4,DT,13.788,32,36.498,20.059,44.082,0
0.4,ABM,10.516,4108,8.793,11.381,32.23,0
0.4,Reverie,14.073,0,18.744,19.732,82.199,0
0.6,DT,13.962,44,33.59,20.537,65.465,0
0.6,ABM,9.9714,40048,11.404,9.7431,47.22,0
0.6,Reverie,14.395,364,18.56,13.509,84.197,0
0.8,DT,14.594,1980,43.758,13.542,88.445,0
0.8,ABM,9.98,26040,13.962,10.234,61.711,0
0.8,Reverie,14.185,116,18.315,11.463,83.674,0
