RDMA Load,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,1.6589,28,7.2502,27.51,0,0
0.2,ABM,1.6448,18224,6.7995,20.659,0,0
0.2,Reverie,1.6571,52,7.2555,27.428,0,0
0.4,DT,2.6011,448,11.043,42.889,0,0
0.4,ABM,2.4864,56712,9.2154,29.51,0,1048
0.4,Reverie,2.5948,392,11.406,43.585,0,0
0.6,DT,4.6643,2840,25.699,77.489,0,0
0.6,ABM,3.8958,258552,14.115,35.68,0,7336
0.6,Reverie,4.6589,1936,24.775,74.698,0,0
0.8,DT,13.709,88948,92.203,142.15,0,7216
0.8,ABM,8.2804,1401664,37.425,40.515,0,18281
0.8,Reverie,16.726,98756,112.89,124.52,0,3832
