RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,2.4559,0,9.8334,31.786,0,0
500000,ABM,2.3862,40604,8.5707,27.777,0,0
500000,Reverie,2.4559,0,9.8334,31.786,0,0
1000000,DT,2.5054,72,10.14,34.957,0,0
1000000,ABM,2.4191,48768,8.8661,28.52,0,0
1000000,Reverie,2.5022,16,9.9286,35.053,0,0
1500000,DT,2.5446,116,10.712,39.088,0,0
1500000,ABM,2.4484,53620,9.068,29.128,0,0
1500000,Reverie,2.5431,76,10.434,38.158,0,0
2500000,DT,2.6239,872,11.505,45.697,0,0
2500000,ABM,2.4859,66148,9.2802,30.361,0,1108
2500000,Reverie,2.6196,508,11.109,45.449,0,0
