RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,2.033,0,6.4045,2.2891,0,0
500000,ABM,2.0336,456,6.3705,2.2957,0,0
500000,Reverie,2.0349,0,6.3738,2.2877,0,0
1000000,DT,2.0431,0,6.4467,2.3844,0,0
1000000,ABM,2.0433,476,6.4448,2.3844,0,0
1000000,Reverie,2.0414,0,6.4494,2.3844,0,0
1500000,DT,2.0479,0,6.4806,2.3844,0,0
1500000,ABM,2.0483,464,6.5256,2.3844,0,0
1500000,Reverie,2.0496,0,6.4217,2.3844,0,0
2500000,DT,2.0672,0,6.6776,2.3898,0,0
2500000,ABM,2.0653,484,6.6322,2.3844,0,0
2500000,Reverie,2.065,0,6.6567,2.3944,0,0
