TCP Load,Algorithm,TCP Background FCT Slowdown Avg,PFC Pauses,TCP Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,1.6652,0,6.094,18.704,10.41,0
0.2,ABM,1.6578,16640,5.5651,7.1231,10.493,0
0.2,Reverie,1.6652,0,6.094,18.704,10.41,0
0.4,DT,2.0567,0,6.347,13.182,13.908,0
0.4,ABM,2.0594,17252,6.242,6.7956,13.658,0
0.4,Reverie,2.0567,0,6.347,13.182,13.908,0
0.6,DT,2.7849,12,10.448,11.135,16.49,0
0.6,ABM,2.7777,18640,10.503,7.1231,16.656,0
0.6,Reverie,2.788,16,10.493,10.071,16.656,0
0.8,DT,4.4409,16,28.521,10.819,19.321,0
0.8,ABM,4.4558,19420,28.872,9.0062,19.321,0
0.8,Reverie,4.4465,0,28.615,10.644,19.392,0
