TCP Load,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,11.594,0,6.0872,18.704,10.41,0
0.2,ABM,12.741,16640,5.7454,7.1231,10.493,0
0.2,Reverie,11.594,0,6.0872,18.704,10.41,0
0.4,DT,11.997,0,5.3519,13.182,13.908,0
0.4,ABM,11.832,17252,5.3154,6.7956,13.658,0
0.4,Reverie,11.997,0,5.3519,13.182,13.908,0
0.6,DT,13.281,12,5.6448,11.135,16.49,0
0.6,ABM,10.399,18640,5.6508,7.1231,16.656,0
0.6,Reverie,13.437,16,5.7812,10.071,16.656,0
0.8,DT,14.303,16,5.5593,10.819,19.321,0
0.8,ABM,9.696,19420,5.4772,9.0062,19.321,0
0.8,Reverie,14.299,0,5.5713,10.644,19.392,0
