RDMA Load,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,17.829,0,3.7405,0.28297,11.493,0
0.2,ABM,21.843,0,3.7074,0.28297,3.1767,0
0.2,Reverie,10.09,0,3.7753,0.28297,15.99,0
0.4,DT,17.332,0,4.151,1.8861,5.5798,0
0.4,ABM,20.708,8,4.1582,1.8914,0.91609,0
0.4,Reverie,9.5395,0,4.1654,1.8777,10.426,0
0.6,DT,17.628,0,4.7781,3.1206,9.5773,0
0.6,ABM,20.727,48,4.7977,3.1291,4.2473,0
0.6,Reverie,8.1868,0,4.7832,3.118,15.285,0
0.8,DT,19.955,0,14.718,14.177,6.6625,0
0.8,ABM,26.167,9524,14.375,14.205,2.2489,0
0.8,Reverie,7.0398,0,14.898,14.238,11.66,0
