TCP Burst Size,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
12500,DT,0.74817,0,13.463,14.13,0,0
12500,ABM,0.74759,5092,13.34,14.082,0,0
12500,Reverie,0.74851,0,13.615,14.113,0,0
500000,DT,4.8926,0,13.95,14.163,0,0
500000,ABM,4.9014,6840,13.874,14.135,0,0
500000,Reverie,4.9033,0,13.902,14.229,0,0
1000000,DT,6.1988,0,14.398,14.238,0,0
1000000,ABM,21.327,7932,14.154,14.16,0,0
1000000,Reverie,6.135,0,14.197,14.244,0,0
2000000,DT,22.759,0,14.963,14.373,11.576,0
2000000,ABM,24.413,10864,14.655,14.214,10.493,0
2000000,Reverie,12.496,0,15.065,14.338,25.068,0
