RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,2.0347,0,6.4098,2.2939,0,0
500000,ABM,2.0344,464,6.3484,2.2966,0,0
500000,Reverie,2.0334,0,6.411,2.2766,0,0
1000000,DT,2.0414,0,6.4899,2.3844,0,0
1000000,ABM,2.042,492,6.3816,2.3844,0,0
1000000,Reverie,2.0422,0,6.4164,2.3912,0,0
1500000,DT,2.049,0,6.5199,2.3844,0,0
1500000,ABM,2.051,492,6.4788,2.3844,0,0
1500000,Reverie,2.0497,0,6.5151,2.3844,0,0
2500000,DT,2.0665,0,6.6791,2.3844,0,0
2500000,ABM,2.065,504,6.6281,2.407,0,0
2500000,Reverie,2.0643,0,6.6503,2.3937,0,0
