Buffer Size (KB/port/Gbps),Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Total Buffer 99% (%),Headroom Buffer 99% (Bytes)
3.44,DT,3.7248,2.4912,200988,49.623,11528
3.44,ABM,3.612,2.0773,532024,31.196,20960
3.44,Reverie,3.5087,2.2988,60392,50.932,3144
5.12,DT,3.7934,2.6246,47324,56.495,3204
5.12,ABM,3.7244,2.2869,315736,32.986,14672
5.12,Reverie,3.713,2.3831,19632,56.025,0
7,DT,3.934,2.7447,21204,56.278,0
7,ABM,3.7769,2.4507,213820,31.663,11528
7,Reverie,3.9313,2.5517,8464,55.767,0
9.6,DT,4.0623,3.0485,8312,53.703,0
9.6,ABM,3.785,2.6239,155772,30.918,8384
9.6,Reverie,4.0549,2.8303,2500,52.063,0
