TCP Load,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,14.235,10352,14.834,11.217,28.399,0
0.2,ABM,10.634,20448,8.2783,6.6713,25.484,0
0.2,Reverie,14.234,7564,9.6002,11.544,33.396,0
0.4,DT,13.97,10704,21.048,8.5969,33.048,0
0.4,ABM,9.6352,23336,8.0722,6.8822,26.4,0
0.4,Reverie,14.255,7752,10.441,9.3338,36.227,0
0.6,DT,13.702,16256,33.786,10.726,35.728,0
0.6,ABM,9.377,37120,8.7689,7.9419,26.65,0
0.6,Reverie,14.276,10000,11.099,10.071,37.276,0
0.8,DT,12.931,23428,58.06,10.48,37.06,0
0.8,ABM,9.0939,53664,8.2947,9.4975,27.233,0
0.8,Reverie,14.499,11940,10.497,11.857,38.809,0
