RDMA Burst Size,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,5.7654,344,58.222,0,37.017,0
500000,ABM,5.7691,7876,8.1456,0,27.15,0
500000,Reverie,5.757,28,10.41,0,38.809,0
1000000,DT,11.399,14576,54.181,0.12234,36.977,0
1000000,ABM,8.5838,21752,7.9947,0.24047,27.066,0
1000000,Reverie,10.361,7708,10.767,0.15188,39.059,0
1500000,DT,13.791,21568,55.568,3.8519,37.06,0
1500000,ABM,9.0974,37952,8.1689,5.4903,27.15,0
1500000,Reverie,14.77,12700,10.535,4.0938,38.892,0
2500000,DT,13.37,36136,60.496,20.602,36.977,0
2500000,ABM,9.4685,69912,8.1268,11.544,27.15,2096
2500000,Reverie,14.218,15916,10.68,23.135,38.809,0
