TCP Burst Size,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
12500,DT,0.74883,0,13.58,14.053,0,0
12500,ABM,0.7485,297776,15.548,13.92,0,1178
12500,Reverie,0.74856,0,13.998,14.104,0,0
500000,DT,8.1042,0,13.977,14.156,0,0
500000,ABM,4.8921,284980,15.353,13.844,0,1178
500000,Reverie,4.892,0,14.099,14.252,0,0
1000000,DT,14.472,0,14.275,14.253,0,0
1000000,ABM,25.137,301444,16.075,13.866,0,1178.4
1000000,Reverie,18.285,60,14.009,14.193,0,0
2000000,DT,7.5495,64,14.94,14.167,3.8309,0
2000000,ABM,18.24,313496,16.364,13.892,4.747,1354
2000000,Reverie,12.908,152,14.61,14.209,6.1628,0
