TCP Load,Algorithm,TCP Background FCT Slowdown Avg,PFC Pauses,TCP Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,1.6645,8564,5.4491,10.398,10.493,0
0.2,ABM,1.6785,19732,5.8751,6.55,10.327,0
0.2,Reverie,1.6549,7216,5.4011,11.381,9.7439,0
0.4,DT,2.0612,7708,6.2542,7.86,13.741,0
0.4,ABM,2.0611,22188,6.4242,6.9623,13.741,0
0.4,Reverie,2.0728,6888,6.4266,8.3513,13.492,0
0.6,DT,2.774,6540,10.596,8.1922,16.49,0
0.6,ABM,2.7833,23328,10.764,6.9594,16.406,0
0.6,Reverie,2.7809,5916,10.447,7.86,16.323,0
0.8,DT,4.8979,8152,37.002,10.971,19.345,0
0.8,ABM,4.9051,30588,34.981,9.17,19.155,0
0.8,Reverie,4.919,6600,36.399,11.544,19.321,0
