Buffer Size (KB/port/Gbps),Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Total Buffer 99% (%),Headroom Buffer 99% (Bytes)
3.44,DT,3.6161,2.0581,161956,47.941,8860
3.44,ABM,3.524,2.0428,524000,28.883,20240
3.44,Reverie,3.4263,2.0922,53164,50.323,2216
5.12,DT,3.5376,1.9811,27596,48.224,0
5.12,ABM,3.616,2.0293,295436,26.015,13624
5.12,Reverie,3.6047,2.0135,17480,53.138,0
7,DT,3.6193,1.9894,13116,45.785,0
7,ABM,3.5969,2.0376,200892,22.828,10480
7,Reverie,3.6555,1.9968,6876,49.586,0
9.6,DT,3.7341,1.989,4360,43.331,0
9.6,ABM,3.5276,2.031,132356,19.736,7336
9.6,Reverie,3.7373,2.0081,1416,41.754,0
