TCP Load,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,14.249,8564,5.703,10.398,10.493,0
0.2,ABM,10.78,19732,6.112,6.55,10.327,0
0.2,Reverie,14.393,7216,5.4288,11.381,9.7439,0
0.4,DT,14.187,7708,5.2554,7.86,13.741,0
0.4,ABM,9.7898,22188,5.2022,6.9623,13.741,0
0.4,Reverie,14.337,6888,5.3218,8.3513,13.492,0
0.6,DT,14.067,6540,5.5787,8.1922,16.49,0
0.6,ABM,9.2188,23328,5.4571,6.9594,16.406,0
0.6,Reverie,14.359,5916,5.6226,7.86,16.323,0
0.8,DT,13.953,8152,5.5485,10.971,19.345,0
0.8,ABM,9.0348,30588,5.3607,9.17,19.155,0
0.8,Reverie,14.632,6600,5.4389,11.544,19.321,0
