RDMA Load,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,30.66,0,3.6957,0.28297,0,0
0.2,ABM,34.694,4,3.6637,0.27609,0,0
0.2,Reverie,25.503,0,3.6967,0.28297,3.4978,0
0.4,DT,26.553,0,4.1669,1.8872,0,0
0.4,ABM,35.428,32,4.1215,1.8734,0,0
0.4,Reverie,24.832,0,4.1354,1.8819,0.083281,0
0.6,DT,23.141,0,4.7119,3.155,4.1641,0
0.6,ABM,36.135,256,4.7296,3.0905,0.083281,0
0.6,Reverie,24.929,0,4.7201,3.1184,3.4145,0
0.8,DT,25.419,4,14.926,14.413,3.1647,0
0.8,ABM,36.971,302936,15.846,13.883,0.083281,1178
0.8,Reverie,26.627,120,14.584,14.171,1.9155,0
