TCP Burst Size,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
12500,DT,0.74504,0,13.558,14.106,0,0
12500,ABM,0.74811,286112,14.726,13.83,0,1090
12500,Reverie,0.74897,0,13.291,14.091,0,0
500000,DT,8.4242,0,13.976,14.18,0,0
500000,ABM,4.9075,291496,15.43,13.839,0,1178
500000,Reverie,4.8992,0,14.227,14.223,0,0
1000000,DT,29.261,0,14.368,14.264,0,0
1000000,ABM,30.966,294520,16.186,13.839,0,1178
1000000,Reverie,20.928,76,13.746,14.248,0,0
2000000,DT,26.935,76,15.129,14.428,9.4108,0
2000000,ABM,38.98,311908,16.312,13.879,0.083281,1266
2000000,Reverie,28.927,128,15.094,14.222,6.3294,0
