Egress Lossy Fraction,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,14.617,12740,138.18,11.872,9.4108,0
0.2,ABM,9.2065,51112,11.384,9.0062,7.0789,0
0.2,Reverie,14.757,11460,5.619,11.79,19.321,0
0.4,DT,14.333,14072,39.771,12.075,17.656,0
0.4,ABM,9.3375,51312,5.0731,9.17,13.646,0
0.4,Reverie,14.757,11460,5.619,11.79,19.321,0
0.6,DT,14.243,14752,5.7688,11.734,19.405,0
0.6,ABM,9.3666,52344,5.3014,9.17,18.072,0
0.6,Reverie,14.757,11460,5.619,11.79,19.321,0
0.8,DT,13.953,8152,5.5485,10.971,19.345,0
0.8,ABM,9.0348,30588,5.3607,9.17,19.155,0
0.8,Reverie,14.632,6600,5.4389,11.544,19.321,0
