RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,2.4534,1264,9.6458,31.361,0,0
500000,ABM,2.2697,209700,8.0681,18.504,0,6288
500000,Reverie,2.4682,1080,10.057,31.851,0,0
1000000,DT,2.4904,4068,9.7991,33.727,0,0
1000000,ABM,2.2952,217172,8.0091,18.842,0,6288
1000000,Reverie,2.5094,2224,9.7787,34.136,0,0
1500000,DT,2.5308,12404,10.1,35.813,0,0
1500000,ABM,2.329,225328,8.2087,19.432,0,7336
1500000,Reverie,2.5426,9640,10.172,36.455,0,0
2500000,DT,2.5992,16304,10.645,38.343,0,0
2500000,ABM,2.3628,247436,8.3328,19.552,0,7576
2500000,Reverie,2.6155,12776,10.864,39.358,0,0
