RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,2.0359,0,6.4246,2.2759,0,0
500000,ABM,2.0359,1372,6.4152,2.2735,0,0
500000,Reverie,2.0364,0,6.4089,2.2966,0,0
1000000,DT,2.0425,0,6.4774,2.3844,0,0
1000000,ABM,2.0436,1420,6.4433,2.3844,0,0
1000000,Reverie,2.0436,0,6.4445,2.3844,0,0
1500000,DT,2.0505,0,6.5327,2.3844,0,0
1500000,ABM,2.0506,1412,6.4876,2.3844,0,0
1500000,Reverie,2.0535,0,6.4824,2.3844,0,0
2500000,DT,2.0673,0,6.667,2.3844,0,0
2500000,ABM,2.0653,1392,6.5704,2.4023,0,0
2500000,Reverie,2.0683,0,6.6587,2.3886,0,0
