RDMA Burst Size,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,TCP Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,9.2963,269,71.785,0,29.648,0
500000,ABM,9.3013,7581,9.5712,0,29.648,0
500000,Reverie,9.2595,17,11.956,0,39.559,0
1000000,DT,20.793,10169,71.447,0.097031,29.648,0
1000000,ABM,22.698,11785,9.7946,0.081875,29.648,0
1000000,Reverie,19.252,6705,12.025,0.092813,39.475,0
1500000,DT,21.066,11881,70.449,12.545,29.648,0
1500000,ABM,21.011,30349,10.007,10.691,29.648,0
1500000,Reverie,21.151,9245,11.989,12.281,39.559,0
2500000,DT,22.041,46333,74.091,37.499,29.648,0
2500000,ABM,20.128,74653,10.396,19.241,29.648,15720
2500000,Reverie,20.816,19005,12.942,39.464,40.058,0
